symbol,Year,Month,Day,estimate_EPS,report_EPS,surprise_percent
AAPL,2024,8,1,1.35,1.4,3.7037
AAPL,2024,5,2,1.5,1.53,2.0
AAPL,2024,2,1,2.1,2.18,3.8095
AAPL,2023,11,2,1.39,1.46,5.036
AAPL,2023,8,3,1.19,1.26,5.8824
AAPL,2023,5,4,1.43,1.52,6.2937
AAPL,2023,2,2,1.94,1.88,-3.0928
AAPL,2022,10,27,1.27,1.29,1.5748
AAPL,2022,7,28,1.16,1.2,3.4483
AAPL,2022,4,28,1.43,1.52,6.2937
AAPL,2022,1,27,1.89,2.1,11.1111
AAPL,2021,10,28,1.24,1.24,0.0
AAPL,2021,7,27,1.01,1.3,28.7129
AAPL,2021,4,28,0.99,1.4,41.4141
AAPL,2021,1,27,1.41,1.68,19.1489
AAPL,2020,10,29,0.7,0.73,4.2857
AAPL,2020,7,30,0.51,0.65,27.451
AAPL,2020,4,30,0.56,0.64,14.2857
AAPL,2020,1,28,1.14,1.25,9.6491
AAPL,2019,10,30,0.71,0.76,7.0423
AAPL,2019,7,30,0.53,0.55,3.7736
AAPL,2019,4,30,0.59,0.62,5.0847
AAPL,2019,1,29,1.04,1.05,0.9615
AAPL,2018,11,1,0.7,0.73,4.2857
AAPL,2018,7,31,0.545,0.585,7.3394
AAPL,2018,5,1,0.6725,0.6825,1.487
AAPL,2018,2,1,0.965,0.9725,0.7772
AAPL,2017,11,2,0.4675,0.5175,10.6952
AAPL,2017,8,1,0.3925,0.4175,6.3694
AAPL,2017,5,2,0.505,0.525,3.9604
AAPL,2017,1,31,0.8025,0.84,4.6729
AAPL,2016,10,25,0.415,0.4175,0.6024
AAPL,2016,7,26,0.345,0.355,2.8986
AAPL,2016,4,26,0.5,0.475,-5.0
AAPL,2016,1,26,0.8075,0.82,1.548
AAPL,2015,10,27,0.47,0.49,4.2553
AAPL,2015,7,21,0.4525,0.4625,2.2099
AAPL,2015,4,27,0.54,0.5825,7.8704
AAPL,2015,1,27,0.65,0.765,17.6923
AAPL,2014,10,20,0.3275,0.355,8.3969
AAPL,2014,7,22,0.3075,0.32,4.065
AAPL,2014,4,23,0.365,0.415,13.6986
AAPL,2014,1,27,0.5025,0.5175,2.9851
AAPL,2013,10,28,0.285,0.295,3.5088
AAPL,2013,7,23,0.2625,0.2675,1.9048
AAPL,2013,4,23,0.3575,0.36,0.6993
AAPL,2013,1,23,0.48,0.4925,2.6042
AAPL,2012,10,25,0.3125,0.31,-0.8
AAPL,2012,7,24,0.37,0.3325,-10.1351
AAPL,2012,4,24,0.3575,0.44,23.0769
AAPL,2012,1,24,0.3625,0.495,36.5517
AAPL,2011,10,18,0.265,0.2525,-4.717
AAPL,2011,7,19,0.2075,0.2775,33.7349
AAPL,2011,4,20,0.1925,0.2275,18.1818
AAPL,2011,1,18,0.1925,0.23,19.4805
AAPL,2010,10,18,0.145,0.165,13.7931
AAPL,2010,7,20,0.11,0.125,13.6364
AAPL,2010,4,20,0.0875,0.12,37.1429
AAPL,2010,1,25,0.075,0.13,73.3333
AAPL,2009,10,19,0.05,0.065,30.0
AAPL,2009,7,21,0.0425,0.0475,11.7647
AAPL,2009,4,22,0.04,0.0475,18.75
AAPL,2009,1,21,0.05,0.0625,25.0
AAPL,2008,10,21,0.04,0.045,12.5
AAPL,2008,7,21,0.0375,0.0425,13.3333
AAPL,2008,4,23,0.0375,0.0425,13.3333
AAPL,2008,1,22,0.06,0.06,0.0
AAPL,2007,10,22,0.03,0.04,33.3333
